Entity 1,Type 1,Entity 2,Type 2,Relationship
The Public Enterprise Airport Pristina,ORG,The Air Traffic Control Services,ORG,operator operator
The Public Enterprise Airport Pristina,ORG,The Atcs Employee,ORG,airline hub
The Public Enterprise Airport Pristina,ORG,Public Procurement,ORG,operator operator
The Public Enterprise Airport Pristina,ORG,Kosovo Unmi,ORG,airline hub
The Public Enterprise Airport Pristina,ORG,The Transport Sector Of The Unmi Directorate Of Infrastructure Affairs,ORG,parent organization
The Public Enterprise Airport Pristina,ORG,Direct Single Source Procurement,ORG,organization subsidiary
The Public Enterprise Airport Pristina,ORG,Kosovo Consolidated Budget Fund,ORG,operator
The Public Enterprise Airport Pristina,ORG,Unmi Pillar Iv,ORG,owned by
The Public Enterprise Airport Pristina,ORG,The Special Representative,ORG,relationship participant
The Public Enterprise Airport Pristina,ORG,United Nations Security Council,ORG,parent organization
The Public Enterprise Airport Pristina,ORG,Kosovo Consolidated Budget Funds,ORG,operator
The Public Enterprise Airport Pristina,ORG,Bac Ground,ORG,operator
The Public Enterprise Airport Pristina,ORG,The Kosovo Trust Agency,ORG,operator
The Public Enterprise Airport Pristina,ORG,The Investigation Task Force,ORG,owned by
The Public Enterprise Airport Pristina,ORG,United Nations,ORG,member of
The Public Enterprise Airport Pristina,ORG,Allegation 1,ORG,part of
The Public Enterprise Airport Pristina,ORG,Unmi Finance Administrative Instruction,ORG,airline hub
The Public Enterprise Airport Pristina,ORG,The Kosovo Force,ORG,operator operator
The Public Enterprise Airport Pristina,ORG,Unmi Regulation,ORG,airline hub
The Public Enterprise Airport Pristina,ORG,Air Traffic Control Services,ORG,airline hub
The Public Enterprise Airport Pristina,ORG,The Rescue Fire Fighting Service,ORG,territorial entity
The Public Enterprise Airport Pristina,ORG,The Chartered Accountants,ORG,owner of
The Air Traffic Control Services,ORG,The Atcs Employee,ORG,part of
The Air Traffic Control Services,ORG,Public Procurement,ORG,part of
The Air Traffic Control Services,ORG,Kosovo Unmi,ORG,parent organization
The Air Traffic Control Services,ORG,The Transport Sector Of The Unmi Directorate Of Infrastructure Affairs,ORG,organization subsidiary
The Air Traffic Control Services,ORG,Direct Single Source Procurement,ORG,has part
The Air Traffic Control Services,ORG,Kosovo Consolidated Budget Fund,ORG,organization subsidiary
The Air Traffic Control Services,ORG,Unmi Pillar Iv,ORG,parent organization
The Air Traffic Control Services,ORG,The Special Representative,ORG,facet of
The Air Traffic Control Services,ORG,United Nations Security Council,ORG,parent organization
The Air Traffic Control Services,ORG,Kosovo Consolidated Budget Funds,ORG,organization subsidiary
The Air Traffic Control Services,ORG,Bac Ground,ORG,parent organization
The Air Traffic Control Services,ORG,The Kosovo Trust Agency,ORG,organization subsidiary
The Air Traffic Control Services,ORG,The Investigation Task Force,ORG,has part
The Air Traffic Control Services,ORG,United Nations,ORG,member of
The Air Traffic Control Services,ORG,Allegation 1,ORG,part of
The Air Traffic Control Services,ORG,Unmi Finance Administrative Instruction,ORG,organization subsidiary
The Air Traffic Control Services,ORG,The Kosovo Force,ORG,diplomatic relation
The Air Traffic Control Services,ORG,Unmi Regulation,ORG,part of
The Air Traffic Control Services,ORG,Air Traffic Control Services,ORG,facet of
The Air Traffic Control Services,ORG,The Rescue Fire Fighting Service,ORG,parent organization
The Air Traffic Control Services,ORG,The Chartered Accountants,ORG,relationship participant
The Atcs Employee,ORG,Public Procurement,ORG,facet of
The Atcs Employee,ORG,Kosovo Unmi,ORG,facet of
The Atcs Employee,ORG,The Transport Sector Of The Unmi Directorate Of Infrastructure Affairs,ORG,organization subsidiary
The Atcs Employee,ORG,Direct Single Source Procurement,ORG,parent organization
The Atcs Employee,ORG,Kosovo Consolidated Budget Fund,ORG,facet of
The Atcs Employee,ORG,Unmi Pillar Iv,ORG,organization subsidiary
The Atcs Employee,ORG,The Special Representative,ORG,part of
The Atcs Employee,ORG,United Nations Security Council,ORG,parent organization
The Atcs Employee,ORG,Kosovo Consolidated Budget Funds,ORG,facet of
The Atcs Employee,ORG,Bac Ground,ORG,relationship participant
The Atcs Employee,ORG,The Kosovo Trust Agency,ORG,part of
The Atcs Employee,ORG,The Investigation Task Force,ORG,has part
The Atcs Employee,ORG,United Nations,ORG,facet of
The Atcs Employee,ORG,Allegation 1,ORG,part of
The Atcs Employee,ORG,Unmi Finance Administrative Instruction,ORG,organization subsidiary
The Atcs Employee,ORG,The Kosovo Force,ORG,relationship participant
The Atcs Employee,ORG,Unmi Regulation,ORG,relationship participant
The Atcs Employee,ORG,Air Traffic Control Services,ORG,parent organization
The Atcs Employee,ORG,The Rescue Fire Fighting Service,ORG,part of
The Atcs Employee,ORG,The Chartered Accountants,ORG,part of
Public Procurement,ORG,Kosovo Unmi,ORG,parent organization
Public Procurement,ORG,The Transport Sector Of The Unmi Directorate Of Infrastructure Affairs,ORG,parent organization
Public Procurement,ORG,Direct Single Source Procurement,ORG,different from
