file_name,entity1,entity2
5.txt,stipulates,goods wor k s
5.txt,stipulates,contract ref atcs  pa  coc w
5.txt,stipulates,the pristina   airport
5.txt,stipulates,wor k
5.txt,stipulates,t however
5.txt,stipulates,k ed
5.txt,stipulates,k s      allegation 2
5.txt,stipulates,ra   wor k s
5.txt,stipulates,k s      allegation 4
5.txt,goods wor k s,contract ref atcs  pa  coc w
5.txt,goods wor k s,the pristina   airport
5.txt,goods wor k s,wor k
5.txt,goods wor k s,t however
5.txt,goods wor k s,k ed
5.txt,goods wor k s,k s      allegation 2
5.txt,goods wor k s,ra   wor k s
5.txt,goods wor k s,k s      allegation 4
5.txt,contract ref atcs  pa  coc w,the pristina   airport
5.txt,contract ref atcs  pa  coc w,wor k
5.txt,contract ref atcs  pa  coc w,t however
5.txt,contract ref atcs  pa  coc w,k ed
5.txt,contract ref atcs  pa  coc w,k s      allegation 2
5.txt,contract ref atcs  pa  coc w,ra   wor k s
5.txt,contract ref atcs  pa  coc w,k s      allegation 4
5.txt,the pristina   airport,wor k
5.txt,the pristina   airport,t however
5.txt,the pristina   airport,k ed
5.txt,the pristina   airport,k s      allegation 2
5.txt,the pristina   airport,ra   wor k s
5.txt,the pristina   airport,k s      allegation 4
5.txt,wor k,t however
5.txt,wor k,k ed
5.txt,wor k,k s      allegation 2
5.txt,wor k,ra   wor k s
5.txt,wor k,k s      allegation 4
5.txt,t however,k ed
5.txt,t however,k s      allegation 2
5.txt,t however,ra   wor k s
5.txt,t however,k s      allegation 4
5.txt,k ed,k s      allegation 2
5.txt,k ed,ra   wor k s
5.txt,k ed,k s      allegation 4
5.txt,k s      allegation 2,ra   wor k s
5.txt,k s      allegation 2,k s      allegation 4
5.txt,ra   wor k s,k s      allegation 4
8.txt,administrations tendering,equivalent
8.txt,administrations tendering,i methodology
8.txt,administrations tendering,pris
8.txt,administrations tendering,k ed
8.txt,administrations tendering,divisional manager
8.txt,equivalent,i methodology
8.txt,equivalent,pris
8.txt,equivalent,k ed
8.txt,equivalent,divisional manager
8.txt,i methodology,pris
8.txt,i methodology,k ed
8.txt,i methodology,divisional manager
8.txt,pris,k ed
8.txt,pris,divisional manager
8.txt,k ed,divisional manager
