File Name,Entity1,Entity2,,Relation,Sentence,Predicted_Relation
105.txt,shinzo abe,george w bush abes, ,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] george w bush abes [/E2]. [SEP],No Relation
105.txt,shinzo abe,bush,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] bush [/E2]. [SEP],No Relation
105.txt,shinzo abe,washington,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] washington [/E2]. [SEP],No Relation
105.txt,shinzo abe,emissions abe,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] emissions abe [/E2]. [SEP],No Relation
105.txt,shinzo abe,ssinf,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] ssinf [/E2]. [SEP],No Relation
105.txt,shinzo abe,economy    ,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] economy     [/E2]. [SEP],No Relation
105.txt,shinzo abe,accordingly,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] accordingly [/E2]. [SEP],No Relation
105.txt,shinzo abe,meanwhile,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] meanwhile [/E2]. [SEP],No Relation
105.txt,shinzo abe,abe,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] abe [/E2]. [SEP],No Relation
105.txt,shinzo abe,summit,,No Relation,[CLS] [E1] shinzo abe [/E1] is the No Relation of [E2] summit [/E2]. [SEP],No Relation
105.txt,george w bush abes,bush,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] bush [/E2]. [SEP],No Relation
105.txt,george w bush abes,washington,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] washington [/E2]. [SEP],No Relation
105.txt,george w bush abes,emissions abe,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] emissions abe [/E2]. [SEP],No Relation
105.txt,george w bush abes,ssinf,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] ssinf [/E2]. [SEP],No Relation
105.txt,george w bush abes,economy    trade,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] economy    trade [/E2]. [SEP],No Relation
105.txt,george w bush abes,accordingly,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] accordingly [/E2]. [SEP],No Relation
105.txt,george w bush abes,meanwhile,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] meanwhile [/E2]. [SEP],No Relation
105.txt,george w bush abes,abe,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] abe [/E2]. [SEP],No Relation
105.txt,george w bush abes,summit,,No Relation,[CLS] [E1] george w bush abes [/E1] is the No Relation of [E2] summit [/E2]. [SEP],No Relation
105.txt,bush,description   keywords,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] description   keywords [/E2]. [SEP],No Relation
105.txt,bush,washington,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] washington [/E2]. [SEP],No Relation
105.txt,bush,emissions abe,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] emissions abe [/E2]. [SEP],No Relation
105.txt,bush,ssinf,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] ssinf [/E2]. [SEP],No Relation
105.txt,bush,economy    trade,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] economy    trade [/E2]. [SEP],No Relation
105.txt,bush,accordingly,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] accordingly [/E2]. [SEP],No Relation
105.txt,bush,meanwhile,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] meanwhile [/E2]. [SEP],No Relation
105.txt,bush,abe,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] abe [/E2]. [SEP],No Relation
105.txt,bush,summit,,No Relation,[CLS] [E1] bush [/E1] is the No Relation of [E2] summit [/E2]. [SEP],No Relation
106.txt,fatih,economy,,No Relation,[CLS] [E1] fatih [/E1] is the No Relation of [E2] economy [/E2]. [SEP],No Relation
106.txt,fatih,trade,,No Relation,[CLS] [E1] fatih [/E1] is the No Relation of [E2] trade [/E2]. [SEP],No Relation
106.txt,fatih,estimation,,No Relation,[CLS] [E1] fatih [/E1] is the No Relation of [E2] estimation [/E2]. [SEP],No Relation
106.txt,fatih,aluminum   cement,,No Relation,[CLS] [E1] fatih [/E1] is the No Relation of [E2] aluminum   cement [/E2]. [SEP],No Relation
106.txt,birol,economy,,No Relation,[CLS] [E1] birol [/E1] is the No Relation of [E2] economy [/E2]. [SEP],No Relation
106.txt,birol,trade,,No Relation,[CLS] [E1] birol [/E1] is the No Relation of [E2] trade [/E2]. [SEP],No Relation
106.txt,birol,estimation,,No Relation,[CLS] [E1] birol [/E1] is the No Relation of [E2] estimation [/E2]. [SEP],No Relation
106.txt,birol,aluminum   cement,,No Relation,[CLS] [E1] birol [/E1] is the No Relation of [E2] aluminum   cement [/E2]. [SEP],No Relation
111.txt,angela merkel,nicolas sarkozy,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] nicolas sarkozy [/E2]. [SEP],No Relation
111.txt,angela merkel,silvio berlusconi,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] silvio berlusconi [/E2]. [SEP],No Relation
111.txt,angela merkel,valentino valentini,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] valentino valentini [/E2]. [SEP],No Relation
111.txt,angela merkel,sarkozy,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] sarkozy [/E2]. [SEP],No Relation
111.txt,angela merkel,berlusconi,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] berlusconi [/E2]. [SEP],No Relation
111.txt,angela merkel,herman van rompuy,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] herman van rompuy [/E2]. [SEP],No Relation
111.txt,angela merkel,emulate   unconventional   italian,,No Relation,[CLS] [E1] angela merkel [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
111.txt,nicolas sarkozy,silvio berlusconi,,No Relation,[CLS] [E1] nicolas sarkozy [/E1] is the No Relation of [E2] silvio berlusconi [/E2]. [SEP],No Relation
111.txt,nicolas sarkozy,valentino valentini,,No Relation,[CLS] [E1] nicolas sarkozy [/E1] is the No Relation of [E2] valentino valentini [/E2]. [SEP],No Relation
111.txt,nicolas sarkozy,sarkozy,,No Relation,[CLS] [E1] nicolas sarkozy [/E1] is the No Relation of [E2] sarkozy [/E2]. [SEP],No Relation
111.txt,nicolas sarkozy,berlusconi,,No Relation,[CLS] [E1] nicolas sarkozy [/E1] is the No Relation of [E2] berlusconi [/E2]. [SEP],No Relation
111.txt,nicolas sarkozy,herman van rompuy,,No Relation,[CLS] [E1] nicolas sarkozy [/E1] is the No Relation of [E2] herman van rompuy [/E2]. [SEP],No Relation
111.txt,nicolas sarkozy,emulate   unconventional   italian,,No Relation,[CLS] [E1] nicolas sarkozy [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
111.txt,silvio berlusconi,valentino valentini,,No Relation,[CLS] [E1] silvio berlusconi [/E1] is the No Relation of [E2] valentino valentini [/E2]. [SEP],No Relation
111.txt,silvio berlusconi,sarkozy,,No Relation,[CLS] [E1] silvio berlusconi [/E1] is the No Relation of [E2] sarkozy [/E2]. [SEP],No Relation
111.txt,silvio berlusconi,berlusconi,,No Relation,[CLS] [E1] silvio berlusconi [/E1] is the No Relation of [E2] berlusconi [/E2]. [SEP],No Relation
111.txt,silvio berlusconi,herman van rompuy,,No Relation,[CLS] [E1] silvio berlusconi [/E1] is the No Relation of [E2] herman van rompuy [/E2]. [SEP],No Relation
111.txt,silvio berlusconi,emulate   unconventional   italian,,No Relation,[CLS] [E1] silvio berlusconi [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
111.txt,valentino valentini,sarkozy,,No Relation,[CLS] [E1] valentino valentini [/E1] is the No Relation of [E2] sarkozy [/E2]. [SEP],No Relation
111.txt,valentino valentini,berlusconi,,No Relation,[CLS] [E1] valentino valentini [/E1] is the No Relation of [E2] berlusconi [/E2]. [SEP],No Relation
111.txt,valentino valentini,herman van rompuy,,No Relation,[CLS] [E1] valentino valentini [/E1] is the No Relation of [E2] herman van rompuy [/E2]. [SEP],No Relation
111.txt,valentino valentini,emulate   unconventional   italian,,No Relation,[CLS] [E1] valentino valentini [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
111.txt,sarkozy,berlusconi,,No Relation,[CLS] [E1] sarkozy [/E1] is the No Relation of [E2] berlusconi [/E2]. [SEP],No Relation
111.txt,sarkozy,herman van rompuy,,No Relation,[CLS] [E1] sarkozy [/E1] is the No Relation of [E2] herman van rompuy [/E2]. [SEP],No Relation
111.txt,sarkozy,emulate   unconventional   italian,,No Relation,[CLS] [E1] sarkozy [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
111.txt,berlusconi,herman van rompuy,,No Relation,[CLS] [E1] berlusconi [/E1] is the No Relation of [E2] herman van rompuy [/E2]. [SEP],No Relation
111.txt,berlusconi,emulate   unconventional   italian,,No Relation,[CLS] [E1] berlusconi [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
111.txt,herman van rompuy,emulate   unconventional   italian,,No Relation,[CLS] [E1] herman van rompuy [/E1] is the No Relation of [E2] emulate   unconventional   italian [/E2]. [SEP],No Relation
15.txt,søren,wolfgang nikolaus   team,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] wolfgang nikolaus   team [/E2]. [SEP],No Relation
15.txt,søren,states,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] states [/E2]. [SEP],No Relation
15.txt,søren,background,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] background [/E2]. [SEP],No Relation
