File Name,Entity,Label
1.txt,1,CARDINAL
1.txt,UNITED NATIONS,ORG
1.txt,Kosovo,GPE
1.txt,"Intérimaire des Nations    
       Unies",ORG
1.txt,"UNMIK 
Investigation Task Force  
 
  Pristina",ORG
1.txt,13 December 2004,DATE
1.txt,Pristina Airport,FAC
1.txt,Two,CARDINAL
1.txt,three,CARDINAL
1.txt,Vendor 2 Represent,ORG
1.txt,51%,PERCENT
1.txt,Pristina,PERSON
1.txt,Ljubljana,GPE
1.txt,Pristina,GPE
1.txt,2003,DATE
1.txt,Mounting of Sonic System,ORG
1.txt,Fire Sta,FAC
1.txt,Building,GPE
1.txt,2 with €,MONEY
1.txt,"1,530",MONEY
1.txt,"1,620",MONEY
1.txt,third,ORDINAL
1.txt,Vendor 3,PERSON
1.txt,2,CARDINAL
1.txt,Flat Display Information System,ORG
1.txt,"15,919",MONEY
1.txt,two,CARDINAL
1.txt,3,CARDINAL
1.txt,4,CARDINAL
1.txt,"Euro 19,702",LAW
1.txt,"Euro 21,045",LAW
1.txt,Cramer Antenna,PERSON
1.txt,"3,627.99",MONEY
1.txt,"3,921",MONEY
1.txt,Vendor 4,PERSON
1.txt,"€4,278 and €4,670",MONEY
1.txt,31 st August,DATE
1.txt,14 th  September 2004,DATE
1.txt,Vendor 2,PERSON
1.txt,ITF,ORG
1.txt,the Kosovo Organised Crime Bureau,ORG
1.txt,KOCB,ORG
1.txt,Prizren,NORP
1.txt,TF,ORG
1.txt,UNMIK Department of Justic,ORG
1.txt,October 2004,DATE
1.txt,1 December 2004,DATE
1.txt,the International Prosecutor,ORG
1.txt,Economic Law,PERSON
1.txt,the Procurement Regulation,ORG
1.txt,Financial Agreemen,ORG
1.txt,1999/2,CARDINAL
1.txt,the Final Report,ORG
1.txt,286/04,CARDINAL
1.txt,UNMIK,ORG
1.txt,Recommendation 1:,LAW
1.txt,Airport,PERSON
10.txt,UNITED NATIONS,ORG
10.txt,Kosovo,GPE
10.txt,"Investigation Task Force 
 
 
Irregularities",ORG
10.txt,"the  
Cargo Apron",PRODUCT
10.txt,Pristina Airport,FAC
10.txt,"I. INTRODUCTION 
 
",ORG
10.txt,1,CARDINAL
10.txt,28,CARDINAL
10.txt,February 2003,DATE
10.txt,Pristina International Airport,FAC
10.txt,"the Chartered 
Accountants",ORG
10.txt,"Pristina 
",FAC
10.txt,International Airport,FAC
10.txt,2,CARDINAL
10.txt,four,CARDINAL
10.txt,UNMIK Finance Regulation,ORG
10.txt,1999/2,CARDINAL
10.txt,three,CARDINAL
10.txt,al,PERSON
10.txt,"the UNMIK 
Office of the Legal Adviser",ORG
10.txt,Vendor,PRODUCT
10.txt,1999/24,CARDINAL
10.txt,12 December 1999,DATE
10.txt,22 March 1989,DATE
10.txt,UN,ORG
10.txt,Kosovo Consolidated Budget Funds,ORG
10.txt,Article 4 1,LAW
10.txt,Article 4.1.1  – “All Suppliers and Contractors,LAW
10.txt,Tender,NORP
10.txt,Article 4.3.3 .,LAW
10.txt,the UNMIK Kosovo Interim Administration’s,ORG
10.txt,Tender Documents,ORG
10.txt,Article 23.3,LAW
10.txt,Article 23.3.4,LAW
10.txt,110.1,CARDINAL
10.txt,the Charter of the United Nations,LAW
10.txt,the Staff Regulations,WORK_OF_ART
10.txt,10.2,CARDINAL
10.txt,3,CARDINAL
10.txt,the Investigation Task Force,ORG
10.txt,Pillar,ORG
10.txt,"BACKGROUND INFORMATION 
 
4",ORG
10.txt,Yugoslavian,NORP
10.txt,2001,DATE
10.txt,2003,DATE
10.txt,"the 
Public Enterprise Airport Pristina",ORG
10.txt,Kosovo Force,ORG
10.txt,United Nations Sec,ORG
10.txt,Council,ORG
10.txt,1244,CARDINAL
10.txt,10 June 1999,DATE
10.txt,UNMIK Regulation No 1/,ORG
10.txt,1999,DATE
10.txt,25 July 1999,DATE
10.txt,UNMIK,ORG
10.txt,Ko,PERSON
10.txt,5,CARDINAL
10.txt,the end of June 2002,DATE
10.txt,the Civil Administration,ORG
10.txt,Official 1 and Official 2,LAW
10.txt,Pillar II,PRODUCT
10.txt,DOTI,ORG
10.txt,Transport and Infrastructure,ORG
10.txt,"the Transport 
Sector of the UNMIK Directorate of Infrastructure A",ORG
10.txt,31 July 2000,DATE
10.txt,30 September 2001,DATE
10.txt,United Nations,ORG
10.txt,Airport Engineer 1,ORG
10.txt,Consulting Company,ORG
10.txt,6,CARDINAL
10.txt,1 July 2002,DATE
10.txt,Pillar II,EVENT
10.txt,the Kosovo Trust Agency,ORG
10.txt,Divisional,ORG
10.txt,Air Traffic Control Services,ORG
10.txt,7,CARDINAL
10.txt,1 April 2004,DATE
10.txt,Pristina International Airport,EVENT
10.txt,KFOR,ORG
10.txt,8,CARDINAL
10.txt,9,CARDINAL
10.txt,"774,318.63",MONEY
10.txt,Article 23.4,LAW
10.txt,Public Procurement,ORG
10.txt,10,CARDINAL
10.txt,the Project Engineer,ORG
10.txt,the Evaluat ion Company,ORG
10.txt,31 January 2001,DATE
10.txt,the  Evaluation Company,ORG
10.txt,5 April 2001,DATE
10.txt,five,CARDINAL
10.txt,Four,CARDINAL
10.txt,September 2001,DATE
10.txt,12,CARDINAL
10.txt,May 2001,DATE
10.txt,the Cargo Apron Extension,ORG
10.txt,the Evaluation Company,ORG
10.txt,17,CARDINAL
10.txt,18,CARDINAL
10.txt,4,CARDINAL
10.txt,13,CARDINAL
10.txt,Official 2,LAW
10.txt,"18 May 
2001",DATE
10.txt,28 May 2001,DATE
10.txt,Vendor,ORG
10.txt,18 May 2001,DATE
10.txt,2b,CARDINAL
10.txt,Cargo Apron,NORP
10.txt,14,DATE
10.txt,"2 August 
2001",DATE
10.txt,15,CARDINAL
10.txt,two,CARDINAL
10.txt,16,CARDINAL
10.txt,UNMIK Fi,ORG
10.txt,"Consolidated Budget 
Funds",ORG
10.txt,Cargo Apron,LOC
10.txt,"the Evaluation 
Company",ORG
10.txt,ed,PERSON
10.txt,Procur,NORP
10.txt,CPE,ORG
10.txt,19,CARDINAL
10.txt,the Procurement Official,ORG
10.txt,"5 
20",CARDINAL
10.txt,21,DATE
10.txt,2 August 2001,DATE
10.txt,22,CARDINAL
10.txt,24 September  2001,DATE
10.txt,"the 
Office of the Legal Adviser",ORG
10.txt,"Allegation 4 
 
(Specifically",ORG
10.txt,the Cargo Apron,ORG
10.txt,23,CARDINAL
10.txt,Staff,PRODUCT
10.txt,18 October 2001,DATE
10.txt,24,CARDINAL
10.txt,ITF,ORG
10.txt,27 June 2001,DATE
10.txt,17 October 2001,DATE
10.txt,25,CARDINAL
