File Name,Entity,Label
1.txt,1,CARDINAL
1.txt,united nations,ORG
1.txt,united nations interim          administration mission,ORG
1.txt,kosovo,GPE
1.txt,unmi   investigation task force,ORG
1.txt,13 december 2004,DATE
1.txt,28504,DATE
1.txt,pristina airport,FAC
1.txt,two,CARDINAL
1.txt,three,CARDINAL
1.txt,background information,ORG
1.txt,vendor 1,PERSON
1.txt,vendor 2 represent,ORG
1.txt,51,CARDINAL
1.txt,pristina,PERSON
1.txt,ljubljana,GPE
1.txt,2,CARDINAL
1.txt,pristina,GPE
1.txt,2003,DATE
1.txt,supply and mounting of sonic system,WORK_OF_ART
1.txt,fire sta,FAC
1.txt,vendor   2,PERSON
1.txt,third,ORDINAL
1.txt,15919,ORG
1.txt,vendor 2,PERSON
1.txt,3,CARDINAL
1.txt,vendor,PERSON
1.txt,euro 19702,LAW
1.txt,euro 21045,LAW
1.txt,cramer antenna winner,ORG
1.txt,petitors,ORG
1.txt,4,CARDINAL
1.txt,31 st august,DATE
1.txt,14,CARDINAL
1.txt,september 2004,DATE
1.txt,itf,ORG
1.txt,the kosovo organised crime bureau,ORG
1.txt,vendor 4,PERSON
1.txt,vendor 3,PERSON
1.txt,tf,ORG
1.txt,28604,DATE
1.txt,the   international prosecutor unmi department of justic e,ORG
1.txt,october 2004,DATE
1.txt,1 december 2004,DATE
1.txt,the international prosecutor,ORG
1.txt,the procurement regulation,ORG
1.txt,financial agreemen,ORG
1.txt,19992,CARDINAL
1.txt,the final report,ORG
1.txt,28604,CARDINAL
1.txt,unmi,ORG
1.txt,actions   recommendation 1,EVENT
10.txt,united nations,ORG
10.txt,united nations interim   administration mission,ORG
10.txt,kosovo,GPE
10.txt,investigation task force       irregularities,ORG
10.txt,cargo apron,PERSON
10.txt,pristina airport,FAC
10.txt,1,CARDINAL
10.txt,28,CARDINAL
10.txt,february 2003,DATE
10.txt,pristina international airport,FAC
10.txt,the chartered   accountants,ORG
10.txt,pristina   international airport,FAC
10.txt,2,CARDINAL
10.txt,four,CARDINAL
10.txt,investigation   ,ORG
10.txt,unmi finance regulation,ORG
10.txt,three,CARDINAL
10.txt,al,PERSON
10.txt,tions   ,PERSON
10.txt,the unmi   office,ORG
10.txt,vendor,PRODUCT
10.txt,section 1 of unmi regulation,LAW
10.txt,199924,CARDINAL
10.txt,12 december 1999,DATE
10.txt,22 march 1989,DATE
10.txt,un,ORG
10.txt,stipulates,PERSON
10.txt,integrity     unmi finance administrative instruction,ORG
10.txt,19992,CARDINAL
10.txt,public procurement,ORG
10.txt,article 4 1,LAW
10.txt,suppliers and contractors,WORK_OF_ART
10.txt,article 433 ,LAW
10.txt,tender documents,ORG
10.txt,article 233,LAW
10.txt,article 2334,LAW
10.txt,the charter of the united nations,LAW
10.txt,the staff regulations,WORK_OF_ART
10.txt,102,CARDINAL
10.txt,the investigation task force,ORG
10.txt,itf,ORG
10.txt,pillar iv,ORG
10.txt,bac,ORG
10.txt,4,CARDINAL
10.txt,2001,DATE
10.txt,2003,DATE
10.txt,the   public enterprise,ORG
10.txt,the   kosovo force,ORG
10.txt,united nations sec,ORG
10.txt,council resolution   1244,ORG
10.txt,10 june 1999,DATE
10.txt,unmi regulation,ORG
10.txt,1999,DATE
10.txt,25 july,DATE
10.txt,ko,PERSON
10.txt,5,CARDINAL
10.txt,the end of june 2002,DATE
10.txt,the pristina   airport,ORG
10.txt,the civil administration,ORG
10.txt,unmi,ORG
10.txt,official 1 and official 2 pillar ii,LAW
10.txt,the transport   sector,ORG
10.txt,the unmi directorate of infrastructure a,ORG
10.txt,doti,ORG
10.txt,31 july 2000,DATE
10.txt,3,CARDINAL
10.txt,30 september 2001,DATE
10.txt,airport engineer,ORG
10.txt,the   consulting company,ORG
10.txt,6,CARDINAL
10.txt,1 july 2002,DATE
10.txt,pillar ii,EVENT
10.txt,the kosovo trust agency,ORG
10.txt,atcs official   air,ORG
10.txt,7,CARDINAL
10.txt,1 april 2004,DATE
10.txt,pristina international airport,ORG
10.txt,kfor,ORG
10.txt,8,CARDINAL
10.txt,article 234,LAW
10.txt,the project engineer,ORG
10.txt,the evaluat ion company,ORG
10.txt,the peap   official,ORG
10.txt,31 january 2001,DATE
10.txt,the cargo apron,ORG
10.txt,5 april 2001,DATE
10.txt,five,CARDINAL
10.txt,september 2001,DATE
10.txt,12,CARDINAL
10.txt,vendor,ORG
10.txt,may 2001,DATE
10.txt,17,CARDINAL
10.txt,18,CARDINAL
10.txt,official   2,ORG
10.txt,official 2,LAW
10.txt,18 may   2001,DATE
10.txt,28 may 2001,DATE
10.txt,cargo apron,NORP
10.txt,the cargo apron extension,ORG
10.txt,2 august,DATE
10.txt,plans,ORG
10.txt,15,CARDINAL
10.txt,two,CARDINAL
10.txt,instruction 19992,LAW
10.txt,consolidated budget   funds,ORG
10.txt,cargo apron,LOC
10.txt,the evaluation   company,ORG
10.txt,18,MONEY
10.txt,airport engineer 1,ORG
10.txt,ed,PERSON
10.txt,the evaluation company,ORG
10.txt,procur,NORP
10.txt,cpe,ORG
10.txt,exercise,TIME
10.txt,19,CARDINAL
10.txt,assistance,PERSON
10.txt,the procurement official,ORG
10.txt,rules however,LAW
10.txt,5   20,MONEY
10.txt,allegations 2  3,ORG
10.txt,the office   of,ORG
10.txt,21,PERSON
10.txt,2 august 2001,DATE
10.txt,22,DATE
10.txt,24 september   2001,DATE
10.txt,the   office of the legal adviser      allegation 4     specifically,ORG
10.txt,23,CARDINAL
10.txt,staff,PRODUCT
10.txt,18 october 2001,DATE
10.txt,24,CARDINAL
10.txt,27 june 2001,DATE
10.txt,17 october 2001,DATE
10.txt,septe,ORG
10.txt,the   vendor,ORG
10.txt,6,QUANTITY
10.txt,114,CARDINAL
10.txt,however,NORP
10.txt,divisi,PERSON
10.txt,it,NORP
10.txt,27,CARDINAL
10.txt,vendors,PERSON
10.txt,divis,PERSON
10.txt,25 august 2002,DATE
10.txt,the unmi finance administrative   instruction,ORG
10.txt,doc,ORG
10.txt,31,CARDINAL
10.txt,32,CARDINAL
10.txt,li,PERSON
10.txt,34,CARDINAL
10.txt,the office of the legal adviser      7,ORG
10.txt,35,CARDINAL
10.txt,the unmi public procurement regula,ORG
10.txt,39,CARDINAL
105.txt,carbon emissions   wikileaks,ORG
105.txt,july 31 2015,DATE
105.txt,a secret us national security agency,ORG
105.txt,japanese,NORP
105.txt,ministry of economy trade and industry,ORG
105.txt,the ministry of foreign affairs,ORG
105.txt,shinzo abe,PERSON
105.txt,washington,GPE
105.txt,george w bush abes,PERSON
105.txt,the united states,GPE
105.txt,bush,PERSON
